Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
203022_at,1.1434000926052217,0.3396072512400963,5786.70219897799,0.0,0.003802923671454633,0.9592516752350913
1563070_at,1.1432625676041954,0.339695106418031,916.7814273701007,1.354702894940354e-192,-0.14757488092616786,0.04619515698283232
1554271_a_at,1.1432159961423023,0.33972486136308677,1528.4255746395102,0.0,0.17686242258355006,0.016617262789278664
1563646_a_at,1.1430160220317962,0.3398526478096517,2447.283926200287,0.0,-0.11773553103572962,0.11244269460535894
1552676_at,1.142925717421933,0.33991036502727234,1047.877114443018,6.895323493456752e-221,-0.08142302122951874,0.2731911647646633
1553852_at,1.1427828525639188,0.34000168982071033,2910.755662655729,0.0,-0.08790793514709846,0.23667430824392208
1560589_a_at,1.142764818848471,0.34001321891759306,2647.719595087773,0.0,-0.16084091492028343,0.029623528181770078
1555719_a_at,1.1426769938533423,0.3400693701111491,780.3882203483382,3.466452713274987e-163,0.07370105095132364,0.3214283825848623
201067_at,1.1424853523863299,0.3401919196259562,3567.787356008997,0.0,-0.21109869486702607,0.004123968431235336
1564010_at,1.1424020406983535,0.3402452049935338,2251.9190893994955,0.0,0.10867963359494741,0.14306882833737636
1566182_at,1.1423140738757591,0.34030147419031775,1115.6468072247742,1.599744478101398e-235,0.07438348605441274,0.3169557549489943
202407_s_at,1.1421645613284832,0.34039712716012677,1840.655688803743,0.0,-0.04307996834233518,0.5625549909203812
1559311_at,1.1421396970398265,0.3404130363300161,1967.8183157133717,0.0,-0.003015441812184826,0.9676843682094768
1561443_at,1.1421150281027839,0.34042882102910865,1334.272506721604,9.180223849472986e-283,0.1200494231537757,0.10550532703984801
1554733_at,1.1421090389594708,0.34043265332895745,1708.0698860949574,0.0,0.03463898915866244,0.641561650076364
1555306_a_at,1.14209420406819,0.3404421459292449,1423.955757369063,3.741239674482646e-302,-0.02307072912220923,0.7565626438322081
1566558_x_at,1.1419121509087788,0.3405586540605983,8814.051537733563,0.0,-0.04783247228676872,0.5202240476873968
1560746_at,1.141892598668612,0.3405711685487599,968.9064629542892,7.67240119123646e-204,0.03665594372421803,0.6222668153392837
205923_at,1.141818468733757,0.34061861867714716,2650.833565428638,0.0,0.1334685620085209,0.07166743741710851
206676_at,1.1417774249515964,0.3406448925800465,148712.81734781477,0.0,-0.05170821458544611,0.4869500620387338
1566323_at,1.1417010968085464,0.34069375736499463,879.0901072646268,1.8274063122503997e-184,0.07533763670921786,0.310770524468858
205535_s_at,1.1414406578690026,0.3408605262307321,1154.1246223109774,7.812664390874789e-244,0.0792683848292872,0.2861278758555542
1557585_at,1.141328028431166,0.34093266508555664,2046.2023268088817,0.0,-0.05002596634914446,0.5012508948985153
202213_s_at,1.141275878456516,0.34096607068280693,6310.630087470692,0.0,-0.16354129459417385,0.02695967014564859
1570263_at,1.1412625616706074,0.3409746013608343,1404.0835776414892,7.411734580700739e-298,0.019913393413251743,0.7890348918892195
1557866_at,1.1412250383028615,0.34099863949154446,1334.6871248402217,7.468343491915532e-283,-0.10923963100824313,0.14100753085825693
1565734_at,1.1408867024991005,0.34121543778841235,1684.9547270341332,0.0,0.14280507329983486,0.053794242597256556
1565784_at,1.1407109720191078,0.3413280807517854,762.178328486271,2.906904139372423e-159,-0.06930641610050042,0.35120368734489493
1563637_at,1.1406888095985699,0.341342288705409,1381.3188878400624,6.193598379927328e-293,0.15683962058977904,0.03398169775675523
