Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
206445_s_at,2.8564687229419152,0.0036502164305459725,930.9518566764999,1.3232432687062938e-194,-0.20155361300458052,0.006218719261220749
203475_at,2.8547963779495373,0.003668291940198177,23.514902274591332,0.005137852502736031,0.23013259894385346,0.0017243000291867511
200753_x_at,2.853182934553039,0.003685813978620065,485.58626748936086,7.0023652624070986e-99,-0.17754858698115428,0.01619413372142094
205583_s_at,2.852163111171555,0.003696931586062972,17.167145251067446,0.04616193694322979,-0.236375690137128,0.0012752300358129462
203310_at,2.8470554846173326,0.0037531089311773373,1959.3420278688468,0.0,-0.23824294126710388,0.0011634180115086868
203473_at,2.8468963108350924,0.0037548730179734206,23.016025827980627,0.006160425845674858,0.21078549416750633,0.004181088819668985
202514_at,2.8441214882381876,0.003785756656204869,779.7494704710163,4.853484746886167e-162,-0.18273731125640702,0.013287461128642097
200039_s_at,2.842204018662707,0.0038072433320995064,98.70776913297935,2.871542142926368e-17,0.17383826567357308,0.01859888250655224
201400_at,2.8414625231349113,0.0038155843520793543,620.6317483392053,7.800241471076943e-128,0.2710646220067159,0.0002060362080789724
204452_s_at,2.8407487412481127,0.003823630541500217,30.657967688416125,0.0003387906069075338,0.1882676124379154,0.010702954386182325
200659_s_at,2.8372543577257985,0.0038632619941483108,140.75986393073083,7.188431320201202e-26,-0.3107364552226415,1.858654573642179e-05
1558712_at,2.832683908971574,0.00391570570275934,25.99592162065685,0.002046130963858519,-0.15571506675183452,0.03530025429021504
200958_s_at,2.8313219536970435,0.003931467959750791,405.5392724802344,9.00856795013016e-82,0.25997397648455006,0.00037931356480171017
202029_x_at,2.830409295432842,0.003942065159798489,40985.42112864369,0.0,-0.22035747246693935,0.0027225034560830817
1556806_at,2.82083114061206,0.004054982401892308,40.970445859771125,5.064274949502053e-06,0.1727353175023936,0.019371009063574945
204682_at,2.8183951696536793,0.004084201860967163,43.688098395260866,1.6110133852473307e-06,0.1522822495226473,0.03959604385535418
1554690_a_at,2.8181499974604836,0.004087154098247866,648.9982638979204,6.31125560118546e-134,0.25244598025212844,0.0005655129352829957
1557478_at,2.817420498814096,0.004095950713390597,139.87958101419588,1.0924160510076124e-25,-0.15660451693692917,0.0342538536238051
1566766_a_at,2.8135721926553536,0.004142663105299999,39.03806204020524,1.1339926539319693e-05,-0.19931017934156553,0.006831738256430006
203983_at,2.8135273412259165,0.004143210595481835,279.2103557279859,6.648118296931007e-55,0.28218498929162206,0.00010878190452200325
203048_s_at,2.812412676292578,0.004156839819132746,567.175786147909,2.309296323298389e-116,-0.25531943457800105,0.00048623845317508584
200861_at,2.8071719814044926,0.0042215095543572285,104.02625850454214,2.406418652554226e-18,-0.21478043134030042,0.003503240749863255
1560068_a_at,2.806173813261897,0.004233938078858886,22.241764091819547,0.008143535202180752,-0.16950618250891192,0.021793349111890545
203312_x_at,2.80547029250114,0.004242719368987288,52.10975815954993,4.309337543855703e-08,0.237554956715087,0.0012035252598630185
202221_s_at,2.8036601793025153,0.004265395108641091,165.03685468795186,6.6614958893879805e-31,0.2282791905622164,0.0018830246583624415
204220_at,2.8036290429523336,0.0042657861977661495,7056.8134252547,0.0,0.19348411979708977,0.008682321651341753
204140_at,2.802729836846641,0.004277095865431582,17.799931552379913,0.037566927523721684,0.17831094299328348,0.015735061235725937
200964_at,2.8018071165345404,0.00428873179896723,97.96723184111481,4.0524130291708793e-17,0.16613100958360127,0.024600339872580222
206613_s_at,2.7994890627514177,0.004318100440098494,783.2320679857974,8.641191458539075e-163,-0.2603060218599479,0.00037258769565996487
204212_at,2.798700184891382,0.004328139982083014,48.91214947904189,1.7239576697915545e-07,0.14685118464762395,0.0472868863462827
200818_at,2.795479528143512,0.004369364821027024,12909.416064068782,0.0,0.1779829303023286,0.015931172415040894
203264_s_at,2.794718224515843,0.004379165637854434,936.6124513118491,7.973552409133052e-196,-0.2829887055845005,0.00010376498247676359
1559583_at,2.7892941916682457,0.004449618684619004,42.96328775562396,2.1893112091109175e-06,0.25175587058270943,0.0005862517771080684
206148_at,2.786256300482146,0.004489561427545051,32.51916136505499,0.0001618910680940227,-0.263544255334503,0.0003125505557049274
1554239_s_at,2.7840414948999492,0.0045189030466392865,13722.948482963107,0.0,-0.1826254718594765,0.013344934741882215
1559807_at,2.7779677383585977,0.004600334089621266,23.860763088237416,0.004526955085783876,0.21985586019827402,0.0027856440606847757
1569476_at,2.771327671409556,0.00469100064742515,18.125799848179163,0.03374177378073355,-0.1637524838012766,0.026760269575147835
202937_x_at,2.7707579740873265,0.0046988604860947894,90.70924017366931,1.1730667488691444e-15,0.19215578854743642,0.009161862959598088
204473_s_at,2.7696089400827377,0.004714752366058224,99.8939251824194,1.65320022058215e-17,0.15905633003550856,0.03150456448608883
205521_at,2.768380641466221,0.00473179866597009,2113.2207195806172,0.0,-0.17999081904040196,0.014763364333844836
204083_s_at,2.7675434125927305,0.0047434522428665945,23.657186924853825,0.004877494940921991,-0.1541891085860378,0.03715849735801103
1556434_at,2.765867483940363,0.004766864272251567,21.0082291337497,0.012613932950691771,-0.16296680878475694,0.027508535995345522
205931_s_at,2.7571578112824433,0.004890366402341933,25.32629272425224,0.002630664179203021,0.20976461125126508,0.004372248082729399
206918_s_at,2.7565529616623956,0.004899058344552311,40.021060735732235,7.532054651587281e-06,-0.28331744618513705,0.00010177602052927654
1561158_at,2.7515024721205354,0.004972228070748455,52.75157270920661,3.257633618234341e-08,-0.28861373125721906,7.426541987460494e-05
1561191_at,2.748804206952641,0.005011756370058642,19.60205195569944,0.020533541318687905,-0.15424707543942365,0.037086428061072485
1556567_at,2.748499919800802,0.005016233260480085,34.33433279757173,7.80362549839277e-05,-0.2092228797055704,0.004476845412461284
1558021_at,2.747573645003859,0.005029885354924513,106.64790617061486,7.066140517706821e-19,-0.20014706930150136,0.00659702907491969
1564276_at,2.7470628065930756,0.0050374299853338895,63.29712720267473,3.089709556402485e-10,-0.24821095973402482,0.000704291047453143
200889_s_at,2.746503228789841,0.005045707149252184,64.07955995953792,2.1780936008405966e-10,0.27591403779564394,0.00015646803885544061
1569320_at,2.745498420620407,0.00506060345429819,835.1966968297539,5.6234072272367505e-174,-0.15034729195899726,0.042205707035394266
1568658_at,2.7448930174914365,0.005069599313564103,437.7407036253646,1.1961689727495113e-88,-0.1762860118965582,0.01698012005052081
1556982_at,2.740742231527486,0.005131699370111437,129.5087995221378,1.4964426521966698e-23,-0.21774499264319566,0.0030661399324815332
1559455_at,2.7395751260441736,0.005149293980007121,101.62296452295355,7.38620662044259e-18,-0.20206712676781716,0.0060855055534998195
200057_s_at,2.7386157568236076,0.005163801014718962,22617752.83967401,0.0,-0.21134951848015374,0.004078731560492368
203458_at,2.738203932561417,0.005170040632300303,46.52795840448336,4.804579772429841e-07,0.20489085563898457,0.005397517371328313
1556033_at,2.7354504360932994,0.005211949040763149,21.43554292671399,0.01085080911381862,-0.1589468308533767,0.0316232177302586
204822_at,2.7344220217148325,0.005227686573407072,22.049854166659316,0.008722311125572091,0.17694953468768992,0.01656301625813727
1558483_at,2.7272958809507273,0.005338018613382747,67.56805566760264,4.5559785025441905e-11,-0.1528046819801787,0.03891519253662313
1554973_a_at,2.7272905488456307,0.005338102014591208,48.671631803533124,1.9124312743274855e-07,-0.20805994664048452,0.004709013349381517
201403_s_at,2.7264532518275035,0.005351214259477691,51.236947361964326,6.299565179929773e-08,0.1911189548872303,0.009552312569325825
200991_s_at,2.7257246497466423,0.005362649917724929,4849.458839157477,0.0,0.16127085318332432,0.02918494815099084
200830_at,2.723716937303175,0.005394285318235906,19.37553068803727,0.022182563187234695,0.2088088416712231,0.004558297754029562
203242_s_at,2.7199482927870235,0.005454160602745781,21.189621869568676,0.011834569265019088,0.21121515037568203,0.0041029094452979635
1558336_at,2.7193340211028567,0.0054639813282607455,36.13596456505561,3.750338379189025e-05,0.24070502319382292,0.0010297141763283308
204773_at,2.7163095045278083,0.005512588487264797,59.55651060979873,1.6320931107436133e-09,-0.25006890736946275,0.0006399386657379395
1555250_a_at,2.713694697868662,0.005554951332624418,30.580762510777664,0.00034924885209015844,0.24625207483477357,0.000778556845909653
202104_s_at,2.7081969896563365,0.005645059902988263,491.75486601614824,3.3485712394243947e-100,-0.3108421393969427,1.8458934566351958e-05
1554440_at,2.7076225223532124,0.005654557488188989,29.350235433286496,0.0005655058091547293,0.20484693368433687,0.005407662093655278
1560316_s_at,2.706896063572183,0.00566659026753031,22.48087002533039,0.007473699256581545,-0.1867081472634454,0.011382601027746792
200963_x_at,2.704190033977585,0.005711632267346564,1586674.960750835,0.0,-0.18091840624161126,0.014249622750738749
1565389_s_at,2.7038424239432604,0.005717443526859135,28.620248732969024,0.0007508313871164729,-0.19083668802053722,0.009661124876787091
200016_x_at,2.7027795616955856,0.0057352480262513545,1113.7262370508254,5.065578948423727e-234,-0.21405504781643378,0.0036184162457006896
1558081_at,2.698967266464518,0.00579955587311335,89.27163030750575,2.2791317802243257e-15,0.17403698102621962,0.018462646990356213
1552939_at,2.6985629148274413,0.0058064178374079576,31.483823835624133,0.0002444476680095182,-0.26486653290987033,0.0002907247003188008
202293_at,2.698090512196216,0.005814444684381989,19.120242940935142,0.024189686919170693,-0.18538691512030292,0.011987860852639226
1570432_at,2.6968223663410487,0.005836046030328201,61.212109950885306,7.824738596902382e-10,-0.27045219149027055,0.00021324536037113992
1558937_s_at,2.6955049498906956,0.005858569587115714,47.384816153296995,3.3272003180510125e-07,-0.2608274342625215,0.0003622487980666944
206875_s_at,2.694124440549881,0.00588226285347501,154.13043664956808,1.2282135780979126e-28,-0.1876855783355483,0.01095231323579809
202179_at,2.6914777669587795,0.005927948688108528,263.8270416386305,1.1957544008535815e-51,-0.29449068815981977,5.1966110481233615e-05
202698_x_at,2.6904229206640626,0.005946253370063,3916.4626559872504,0.0,0.18239339740648566,0.013464892073663333
204806_x_at,2.6902234252076784,0.005949721398760485,82.59355684250497,4.926680643630144e-14,0.25420370125261915,0.0005157125828091798
204050_s_at,2.6886153340288295,0.0059777486214179125,20956.465911709754,0.0,0.21402912082750955,0.003622595397360736
201007_at,2.6876456910358777,0.0059947106238563376,133.20845427951667,2.593209718423118e-24,0.1505361293065322,0.04194482694198295
1556024_at,2.6854026072826107,0.006034129143057731,39.465799214620105,9.492726068748719e-06,0.2968529275325342,4.4919315240294685e-05
202553_s_at,2.674725511341721,0.006225254727704577,56246.94091599179,0.0,-0.20396231612683924,0.005615651054153333
200036_s_at,2.674259549415808,0.006233728784910671,132547.25873517068,0.0,-0.21233420634900546,0.0039054266699417163
1557012_a_at,2.67384253121229,0.00624132228268058,103.93272824923713,2.51385818205773e-18,-0.15549753746301775,0.03556024628131606
1568619_s_at,2.6733807678605146,0.006249741071314257,963.6785383154454,1.1682537887842894e-201,0.1819184410942167,0.013713342182539138
1569338_at,2.6709644774929315,0.006293975371491827,25.48296080237541,0.0024809001876683985,0.16942975267880067,0.021853715435897328
203491_s_at,2.6692507110918093,0.006325533687395207,79.69276529748346,1.8599221189892955e-13,-0.20714448751750875,0.004899317589508238
1554237_at,2.6691756569280676,0.006326919300470918,49.48159184405687,1.3480708137090882e-07,-0.15586903337134592,0.03511720653118754
1555831_s_at,2.6675461068629045,0.006357076327598579,35.828330556323905,4.252575625857063e-05,-0.20202535739185254,0.006096245176130863
205644_s_at,2.6646782078266655,0.0064104914151991745,20.83202397461445,0.013417504207087733,0.2831138225166633,0.00010300374453616309
1559331_x_at,2.6639605745031587,0.0064239257519690994,34.12839921485745,8.480963085286626e-05,-0.1595027197787702,0.0310247677481381
1569380_a_at,2.6620075272873405,0.006460626602942941,27.05299598573333,0.0013708097368471798,0.1692615752086205,0.021987054754519644
201541_s_at,2.661092214622496,0.0064778970489385605,1469.9093678810589,6.0474785075675e-311,0.14905961759458075,0.0440211675297436
204104_at,2.657043177030706,0.006554837148650211,45.795322900064924,6.572449895668904e-07,0.17451576658043524,0.018137952757639887
203609_s_at,2.6522107553132606,0.006647829565348368,90.68073044526102,1.1886297233609932e-15,-0.24171188474520008,0.0009792190973854234
1566403_at,2.652035383204579,0.006651228392925798,46.62948824356512,4.600141072988756e-07,-0.19692347968015916,0.007542486600303749
1559000_at,2.6482407486965673,0.006725187043518473,27.197817189115153,0.0012971529042747005,0.14819813434149118,0.0452718945668051
205788_s_at,2.6482108987650057,0.00672577199318903,10654.85480732014,0.0,-0.22037476708150314,0.002720349801236069
1557047_at,2.6450266331685826,0.006788457521884109,23.895883002274058,0.0044689884259836,-0.1860564805677568,0.011677683995935934
204173_at,2.6423394776012255,0.006841799498329032,139.9273510126217,1.0678896786704372e-25,-0.19525685990256506,0.008077051818499152
204741_at,2.642161025426567,0.006845356326219611,765.9605712998006,4.500131220805078e-159,-0.23205344379420337,0.0015727613935279773
1553764_a_at,2.6417219888556214,0.006854114673711244,32.67228710877841,0.00015227884986214802,-0.16574106078872847,0.024943834197829886
201368_at,2.6416544893585647,0.006855462190116075,10230.982370531838,0.0,-0.24676002745909817,0.0007586363873595665
202051_s_at,2.64114944740997,0.006865552714652225,41579.36741876743,0.0,-0.21031628102437006,0.004267994600359024
202296_s_at,2.638964420792421,0.006909375583528149,83.17728634096734,3.769094002771883e-14,0.22197753266228545,0.0025273345215096154
204375_at,2.634635684900848,0.0069969987092699795,228.74789625046196,3.0192724458434427e-44,-0.286734660328381,8.311020430338807e-05
1563597_at,2.6326482334349417,0.0070375907312836454,135.68188393340213,8.021940379509347e-25,-0.16230985459055128,0.0281478812419227
1555301_a_at,2.6286950947169165,0.0071190131367757925,85.5765431153591,1.2514413593013707e-14,0.23435180996841737,0.001407465353903316
200823_x_at,2.6283505313880413,0.007126153379895624,100819.80471805515,0.0,-0.2642210480108692,0.00030119599625817885
1554578_at,2.6248283434235247,0.007199543353429018,83.4205537515287,3.37086224893286e-14,-0.19108676935563274,0.00956466492955276
201055_s_at,2.6233839911334886,0.00722985085925204,329.50553758939486,1.416836457279611e-65,-0.21522287487117478,0.0034346248804803347
206931_at,2.6228802731573038,0.007240449789656347,24.153599637687282,0.004064965480647206,-0.15587963289521237,0.03510463459047678
1562364_at,2.6227470852450647,0.007243254777259319,29.72153035650944,0.0004892308208723609,0.172862830207514,0.019280345610668458
206763_at,2.6213710926804237,0.0072722956918105765,50.59199303770346,8.334948104156892e-08,-0.17447307981150498,0.01816669857551344
1552880_at,2.619813087233894,0.007305314908739157,64.87546788619531,1.525468837281729e-10,0.1619100081498233,0.02854319379797967
200084_at,2.6192792723414615,0.0073166617202471826,44425.07168378008,0.0,-0.1990613797067156,0.0069029355692480695
202101_s_at,2.61723774612048,0.0073602150417520305,21.36163536131237,0.011137968815772207,0.2407283858050474,0.001028515931974756
200960_x_at,2.6116663776465376,0.007480360937029887,70.1386777389639,1.4302699044473384e-11,0.23805942805743585,0.0011739946917507169
1566691_at,2.6094864796239086,0.007527887839934982,34.28633355360984,7.95657734753224e-05,0.17202676539067183,0.01988155952054826
1569925_at,2.6087998806499546,0.007542918070147406,31.291069472161027,0.0002638463657991647,0.2040917008221519,0.005584790339763333
1558670_at,2.605522794845973,0.007615059466845356,246.53820374175922,5.366116387389762e-48,0.1621615465121969,0.02829395830798756
200738_s_at,2.60115568141545,0.007712240754082995,106071.2368935558,0.0,0.2523439378997626,0.0005685361672282651
202184_s_at,2.60042212130084,0.00772868257125785,16046.549357347458,0.0,-0.18602206767148646,0.011693451986550293
1557303_at,2.5987393421632787,0.007766528858510616,62.01490519919332,5.473668100656922e-10,-0.19214366068639188,0.009166347150433867
1558953_s_at,2.598022570236099,0.007782703999278382,32.182882330894756,0.00018513987560635613,0.16697625858924525,0.023869712799197043
1558906_a_at,2.5970997737279617,0.007803576679694796,67.39268173646477,4.9298671856153003e-11,-0.24377328709233706,0.0008828580078712128
200813_s_at,2.5940981162869465,0.00787184827826253,422.91111348344106,1.7613874935536286e-85,-0.3047066581585366,2.741749305782039e-05
201745_at,2.5913414938695194,0.007935058110310962,93.98134560332703,2.579029724824801e-16,0.262737483325374,0.00032660464912106677
1555963_x_at,2.5896819402552254,0.007973349695622828,22.988122894519094,0.006223046812537648,0.1791418212218683,0.015247693853561792
1554095_at,2.588323508584713,0.008004827045827815,165.07378860058725,6.54466776623878e-31,0.19276551517854096,0.008938908801738086
1559544_s_at,2.586100738748471,0.008056593480270302,30.851438187233523,0.0003139120309637501,-0.24180471873536546,0.0009746797784105183
202105_at,2.5821899265067056,0.008148464175180696,99.0270092354967,2.475135888538839e-17,-0.1863829821408386,0.011529009157854675
200993_at,2.5801552277574777,0.00819666417513068,5125.845631124225,0.0,-0.2496603921946708,0.0006536042480049917
1555733_s_at,2.5790646794320393,0.008222612148567577,26.42273262462756,0.0017415556955420622,0.17543551029295673,0.01752810894326281
206076_at,2.578072383943955,0.00824629170691376,145.1926085487064,8.720328913249665e-27,-0.20969524781328955,0.004385516974113307
1552482_at,2.5758274388747684,0.0083001086185349,19.09332890726548,0.02441093098619164,0.18285010600891385,0.013229716457624137
202516_s_at,2.572057909033018,0.008391242311257794,507.2210263910072,1.6342026133486693e-103,-0.20946193141259892,0.004430415333735701
202405_at,2.5700903093813205,0.008439197296196218,198.33803962278787,7.388493127947724e-38,-0.2417568928160238,0.0009770159114705199
1560305_x_at,2.5662819852034797,0.008532772663567913,17.653764413346384,0.039409717275854114,-0.26208868114958145,0.00033832996097484154
205190_at,2.563207485874942,0.00860905170299462,29.247594109896912,0.0005885664676371407,-0.16128771162122585,0.029167864361277617
206890_at,2.5567147162678343,0.008772321495630226,53.12297874229145,2.77008424525896e-08,0.17318389237145995,0.01905369262009588
1556159_at,2.5559415135919155,0.008791964003118614,36.04959030083935,3.88512622034265e-05,-0.2676380390095181,0.0002494934079050639
1568366_at,2.5521674863117165,0.008888454383229471,23.933290147760783,0.0044080330625661315,-0.2012339425631729,0.006302955951711151
205335_s_at,2.5509361916837223,0.008920156720680144,3871.6222533359196,0.0,0.19821644919085074,0.007149683365442864
1565974_at,2.5494282442973994,0.0089591316628565,58.637056687095416,2.4523942590611756e-09,0.19126536219992332,0.009496301328072585
200768_s_at,2.5400057602309287,0.00920643902003351,21.04146420883417,0.012467581517197575,-0.21580943475992753,0.003345529542270185
1555461_at,2.539704880829755,0.009214444239357302,63.07997885186589,3.4042378367798423e-10,-0.20819363665754836,0.004681784475979353
202837_at,2.537681127564665,0.009268464165023999,49.8966586300826,1.1265228788410269e-07,0.14969591886765146,0.0431160529408524
205315_s_at,2.536620591332494,0.009296895597329253,32.32538944370228,0.00017491248801676973,0.27422452199464364,0.00017231285889711019
1558445_at,2.5356205184716725,0.009323783616801655,698.1140414288357,1.7592157469907156e-144,-0.20493666116889547,0.005386955751801392
1554740_a_at,2.534445297035118,0.00935547713876311,83.76796034851334,2.873845196117759e-14,0.16042738060488995,0.030050665500025425
1555114_at,2.5315272448325468,0.00943462422222511,112.06239965936452,5.58859618956163e-20,-0.18524838275666003,0.012052932958360244
1568801_at,2.529383045532034,0.009493195560545564,75.5467672738805,1.2323855781207643e-12,-0.21050165152229552,0.004233468749085662
1568720_at,2.524680879746101,0.009622878377654465,43.51191387608727,1.7358575697673431e-06,-0.252996272403601,0.0005494636604360622
201568_at,2.521373306827139,0.009715126917358026,246.14618669857947,6.492119087296165e-48,0.17731468696298577,0.01633730306468385
200034_s_at,2.5213534443863144,0.009715683465045534,838226.4575011918,0.0,-0.20087554384821693,0.00639860774529548
205409_at,2.5181527788889193,0.009805771530576893,27.091556508232287,0.001350809558977045,0.20171893997500737,0.006175549343305786
204102_s_at,2.514753600515898,0.009902333901321335,87.05266763388771,6.342310259092585e-15,-0.18488820059168065,0.012223574663584213
201076_at,2.5133317932357833,0.009942996880520073,96.09420182217589,9.676471467992025e-17,-0.1754901625844292,0.01749243913585161
201200_at,2.5125431040571313,0.009965622754595045,386.61339260243477,9.819333216324176e-78,0.17286941686867907,0.0192756724009153
1555826_at,2.5104179454990487,0.010026837919090075,19.768156960727513,0.019398356126908933,0.1529127323899117,0.03877561540837337
201671_x_at,2.5049138844515424,0.010187081648635393,1802.2671023657902,0.0,-0.1561903493985886,0.03473778751960704
1565860_at,2.4994559676062855,0.010348431429626943,44.96940762499944,9.347621547878376e-07,0.19032743457518603,0.009860213629693478
1559375_s_at,2.4981302261582825,0.010387995915384354,25.980944190343703,0.0020577073343250665,0.19385970640341932,0.008550828636765916
1553768_a_at,2.4926366016510944,0.010553511249483106,57.830407056318556,3.5031132110892777e-09,0.17848390736238823,0.015632500358758964
1553301_a_at,2.491161289939442,0.010598393714335207,71.32567381484535,8.36419146042931e-12,-0.22528016128262723,0.002168240898136136
204827_s_at,2.4889044871546724,0.010667408901805538,29.526089823539472,0.0005280322750194539,0.14671634834659852,0.047492652698231955
