Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
AMD1,6.157592084433356,5.436913240294778e-07,0.9251042381933273,0.9986787151480421,-0.23634709076804952,0.0012770165951479172
AMD1.2,6.157592084433356,5.436913240294778e-07,0.9251042381933273,0.9986787151480421,-0.23634709076804952,0.0012770165951479172
HS2ST1.8,6.156398550675224,5.454839515673338e-07,0.7506464041747951,0.9993864596262881,-0.31929407572599977,1.0548784957502174e-05
HS2ST1.5,6.156398550675224,5.454839515673338e-07,0.7506464041747951,0.9993864596262881,-0.31929407572599977,1.0548784957502174e-05
HS2ST1.2,6.156398550675224,5.454839515673338e-07,0.7506464041747951,0.9993864596262881,-0.31929407572599977,1.0548784957502174e-05
ADD3.7,6.151805532785756,5.524380592504267e-07,1.1956753978780317,0.99668446770595,-0.06174326169464142,0.4063597598260673
ADD3.3,6.151805532785756,5.524380592504267e-07,1.1956753978780317,0.99668446770595,-0.06174326169464142,0.4063597598260673
ADD3.11,6.151805532785756,5.524380592504267e-07,1.1956753978780317,0.99668446770595,-0.06174326169464142,0.4063597598260673
ADD3.15,6.151805532785756,5.524380592504267e-07,1.1956753978780317,0.99668446770595,-0.06174326169464142,0.4063597598260673
MIR6787.2,6.148785367891942,5.57059291393425e-07,5.453117509271771,0.7082284629914634,0.16539237712412022,0.025254459159225286
MIR6787,6.148785367891942,5.57059291393425e-07,5.453117509271771,0.7082284629914634,0.16539237712412022,0.025254459159225286
EPHX1,6.147187515433695,5.595199111182225e-07,4.436976685911772,0.8157047786790077,0.2408782357297466,0.0010208606606543242
CLCN4.3,6.1425007292788525,5.668005804454415e-07,9.411856213867344,0.3087515902419294,0.20674742044598654,0.004983983095809424
CLCN4.1,6.1425007292788525,5.668005804454415e-07,9.411856213867344,0.3087515902419294,0.20674742044598654,0.004983983095809424
UROS.3,6.135713296179088,5.775137295592256e-07,1.0924665677016725,0.9975939594100967,0.14862899784944517,0.044642689971499304
UROS.1,6.135713296179088,5.775137295592256e-07,1.0924665677016725,0.9975939594100967,0.14862899784944517,0.044642689971499304
OGDH.4,6.131274644905584,5.846295013405153e-07,1.5069741171877948,0.9925914102166169,0.3128372576474378,1.6199730014164707e-05
