Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
HK3,15.49901727382571,4.172804789700551e-17,47.116405213751925,1.4569826308583119e-07,0.43770743159548064,5.788846837036894e-10
CPA3,14.833083048161294,1.8589294073999678e-16,29.828595894927005,0.00022664229129582957,-0.27332470025689426,0.00018135046151022277
KIAA0125,14.539718863774228,3.6172977877148103e-16,17.597504614767605,0.024454999855156263,-0.4449871403950952,2.7677944809314105e-10
HPGDS,13.779434800291629,2.0760085769402573e-15,33.160474742047775,5.761968623676859e-05,-0.28430201896775414,9.603049972046867e-05
NCF1,13.707621033266378,2.452613111640638e-15,26.156368291513054,0.0009874986123287377,0.37599449462442924,1.5606100891574708e-07
CD93.2,13.502385231434905,3.955805919090079e-15,16.505098049566982,0.035695450492188474,0.44719590324127245,2.2049344591645467e-10
CD93,13.502385231434905,3.955805919090079e-15,16.505098049566982,0.035695450492188474,0.44719590324127245,2.2049344591645467e-10
MAP7.2,13.391925315202464,5.121516149609029e-15,20.023304487600992,0.010248240827716313,-0.24402907018296974,0.0008715295435562399
MAP7,13.391925315202464,5.121516149609029e-15,20.023304487600992,0.010248240827716313,-0.24402907018296974,0.0008715295435562399
MTMR11.1,12.822335529337229,1.9614265320922576e-14,20.785173066207154,0.007740528290918531,0.37305478037472256,1.9821674846908557e-07
MTMR11.3,12.822335529337229,1.9614265320922576e-14,20.785173066207154,0.007740528290918531,0.37305478037472256,1.9821674846908557e-07
LRRC25,12.558648417423168,3.6753248259590196e-14,21.65113049152346,0.00560484085028668,0.2791598155740115,0.00012977283908212342
APOC2.2,12.127246436741752,1.0358041541075137e-13,39.01789614933767,4.877945386776506e-06,0.3203386175854966,9.832339118916416e-06
APOC2,12.127246436741752,1.0358041541075137e-13,39.01789614933767,4.877945386776506e-06,0.3203386175854966,9.832339118916416e-06
MYOF,11.840716582109803,2.0738364758946635e-13,24.691144681434388,0.0017533152138459731,0.3996260180758765,2.0912609787049824e-08
CLEC7A.7,11.832138709196023,2.117546551961472e-13,32.55207970593123,7.414763942744508e-05,0.2341331184290689,0.0014224803715233321
